transition,model,feature,coefficient,standard_error,hazard_ratio_per_training_sd,ci95_low,ci95_high
unreviewed_to_reviewed,baseline,log_author_prior_pr_count,0.11165480047324781,0.03151766177274692,1.1181268171697303,1.0511463373717016,1.1893753845921633
unreviewed_to_reviewed,baseline,author_newcomer,-0.1471923671912133,0.03343675083035755,0.8631279239508239,0.8083766366672896,0.9215875117012826
unreviewed_to_reviewed,baseline,draft,-0.40991207497805227,0.04143976309052995,0.6637086041644802,0.6119329763938824,0.7198649659933027
unreviewed_to_reviewed,baseline,log_repo_open_prs,-0.1577868313549236,0.036539705672370144,0.8540318153708203,0.7950078115886047,0.9174379559971022
unreviewed_to_reviewed,baseline,log_repo_pr_arrivals_28d,-0.06661816229267192,0.08482005589075357,0.9355523623127838,0.7922625678829956,1.1047577635376706
unreviewed_to_reviewed,baseline,log_repo_merges_28d,0.20822363852110287,0.07269694431771259,1.231488547032627,1.0679492769015475,1.4200712283569812
unreviewed_to_reviewed,ci_context,log_author_prior_pr_count,0.08322770374111674,0.031943720442134706,1.0867892463531121,1.0208332056674971,1.1570067072969739
unreviewed_to_reviewed,ci_context,author_newcomer,-0.16744281457867274,0.03353165009251873,0.8458249847639966,0.7920239552461522,0.9032806395719061
unreviewed_to_reviewed,ci_context,draft,-0.42374449429210254,0.04149744877967892,0.6545911123093219,0.6034585042198782,0.7100563192299123
unreviewed_to_reviewed,ci_context,log_repo_open_prs,-0.14207634911121925,0.04142763472284148,0.8675550169028052,0.7998964308499164,0.9409364491769383
unreviewed_to_reviewed,ci_context,log_repo_pr_arrivals_28d,0.3460893208340514,0.10197454634990968,1.4135288677565527,1.1574541357468933,1.7262574803379072
unreviewed_to_reviewed,ci_context,log_repo_merges_28d,-0.10856629067236863,0.08247270284605458,0.8971194221960604,0.7632193404121083,1.0545110888395732
unreviewed_to_reviewed,ci_context,log_prior_week_ci_attempts,-0.12563190761870122,0.036770353923163225,0.8819394222249657,0.8206156095747127,0.9478459042201417
unreviewed_to_reviewed,ci_context,prior_week_ci_failure_rate,-0.1833307639286081,0.03207993071475033,0.8324927516196644,0.7817609523067637,0.8865167535604018
unreviewed_to_reviewed,ci_context,prior_week_ci_rerun_rate,-0.053050538295116745,0.030355892316596276,0.9483320841844619,0.893555354422402,1.006466736999163
unreviewed_to_reviewed,ci_context,prior_week_ci_latency_log,0.06224964458588938,0.024010484913840693,1.0642279903240979,1.015305912696345,1.1155073571683194
unreviewed_to_reviewed,ci_context,prior_week_ci_workflow_concentration_hhi,-0.2886107914480107,0.03129573242042142,0.7493037840973364,0.7047238184079395,0.7967038238199305
unreviewed_to_resolved,baseline,log_author_prior_pr_count,0.29869210226769555,0.0730318470604514,1.3480944843313325,1.1683030510939807,1.5555542177030306
unreviewed_to_resolved,baseline,author_newcomer,0.08832105369044818,0.0666821890359915,1.092338765129319,0.95851157996346,1.2448508737366872
unreviewed_to_resolved,baseline,draft,0.047762666183077646,0.03658767792557634,1.0489216811943984,0.9763366099071618,1.126903039500181
unreviewed_to_resolved,baseline,log_repo_open_prs,-0.35855023778493605,0.08039699051153941,0.6986885243930667,0.5968285196285881,0.8179328535143581
unreviewed_to_resolved,baseline,log_repo_pr_arrivals_28d,0.524645163721223,0.16858000901469808,1.6898591186611303,1.2143809217798278,2.3515058493647087
unreviewed_to_resolved,baseline,log_repo_merges_28d,-0.4389930579365964,0.1375486664636533,0.6446852550601829,0.49234110969733974,0.8441689509687896
unreviewed_to_resolved,ci_context,log_author_prior_pr_count,0.3040659310752419,0.07375844771101966,1.3553584133814605,1.1729266432665082,1.5661648060172118
unreviewed_to_resolved,ci_context,author_newcomer,0.10510743751981257,0.06709350663746061,1.1108299487595077,0.9739518429814433,1.2669447508654292
unreviewed_to_resolved,ci_context,draft,0.068148901052181,0.036879304269461385,1.0705246988658286,0.9958753228535149,1.1507696842994708
unreviewed_to_resolved,ci_context,log_repo_open_prs,-0.27683135106853074,0.09365756759042504,0.7581823529725157,0.6310331952689299,0.9109512537037903
unreviewed_to_resolved,ci_context,log_repo_pr_arrivals_28d,0.029923176844038363,0.2015542785150536,1.0303753742248325,0.6941161634597188,1.5295327607949807
unreviewed_to_resolved,ci_context,log_repo_merges_28d,-0.2047082797395914,0.16183187940254845,0.8148850002056028,0.5933962237368934,1.1190458196352016
unreviewed_to_resolved,ci_context,log_prior_week_ci_attempts,0.43848655536635817,0.10498632436820891,1.5503590594564312,1.2620244535268188,1.9045694451653126
unreviewed_to_resolved,ci_context,prior_week_ci_failure_rate,0.07626188795964393,0.06324329176961889,1.07924517846808,0.9534267432821074,1.2216671741731884
unreviewed_to_resolved,ci_context,prior_week_ci_rerun_rate,0.16239788292350388,0.06699210228966683,1.176328189119494,1.0315842993346838,1.3413814163414381
unreviewed_to_resolved,ci_context,prior_week_ci_latency_log,-0.0868081060947291,0.07143804387064764,0.9168530172595099,0.7970609736170718,1.054648870139917
unreviewed_to_resolved,ci_context,prior_week_ci_workflow_concentration_hhi,0.23374223655082146,0.06523282442406414,1.2633188128208552,1.111697637431454,1.4356191549660469
reviewed_to_resolved,baseline,log_author_prior_pr_count,0.5196225894696532,0.03928074477978174,1.6813929545294095,1.556802042469647,1.8159548808507275
reviewed_to_resolved,baseline,author_newcomer,0.10101598977323299,0.03524229360673317,1.1062943310174815,1.032457996398654,1.1854110783300555
reviewed_to_resolved,baseline,draft,-0.28937112985522867,0.04069157475440276,0.7487342761884184,0.6913388833883889,0.810894670919952
reviewed_to_resolved,baseline,log_repo_open_prs,0.12636806383458873,0.03745833418854084,1.134699733367978,1.0543780614730258,1.2211402455648492
reviewed_to_resolved,baseline,log_repo_pr_arrivals_28d,-0.42314059850743313,0.08602526989522559,0.6549865365082137,0.5533597041889822,0.7752775631463614
reviewed_to_resolved,baseline,log_repo_merges_28d,0.4893230001501897,0.0751680459692534,1.6312115161039902,1.407755141266693,1.890137661210069
reviewed_to_resolved,ci_context,log_author_prior_pr_count,0.4944497377848409,0.04048412317041339,1.6395957831785124,1.5145256905905116,1.7749942103448935
reviewed_to_resolved,ci_context,author_newcomer,0.08506035059875072,0.035498889431788375,1.0887827734079438,1.0156043010475742,1.1672340560660581
