repo_full,evaluation_population,total_weeks,attempts_total_sum,outcome_n_sum,latency_n_sum,logical_run_n_sum,low_outcome_support_weeks,low_latency_support_weeks,missing_core_metric_weeks,median_workflow_count,median_workflow_concentration_hhi,maximum_workflow_concentration_hhi,release_context_available
containerd/containerd,external_evaluation,46,21049,20767,20754,19862,0,0,0,5.0,0.25000117472002503,0.2827731494781194,False
docker/cli,holdout,19,4956,3952,3945,4211,0,0,0,9.0,0.15165,0.4065743944636678,False
helm/helm,external_evaluation,46,6412,5431,5422,5822,0,0,0,4.0,0.3121123924197188,0.3336888888888888,False
prometheus/prometheus,holdout,19,14680,11949,11946,14435,0,0,0,5.0,0.2828169412788665,0.3415415753078091,False
pytest-dev/pytest,external_evaluation,46,2618,1777,1776,2571,0,0,0,1.0,1.0,1.0,False
tektoncd/pipeline,holdout,19,16242,14758,14062,14868,0,0,0,7.0,0.2323702749197087,0.2975920672261669,False
