repo_full,week,attempts_total,outcome_n,failure_count,failure_rate,latency_n,feedback_latency_median_min,feedback_latency_p90_min,queue_latency_median_min,execution_span_median_min,logical_run_n,rerun_count,rerun_rate,additional_attempt_count,failed_then_passed_count,failed_then_passed_rate_among_reruns,merged_pr_count,pr_cycle_hours_median,qualified_review_latency_hours_median,reviewed_pr_n,churn_median,changed_files_median,commits_median,created_pr_count,workflow_count,workflow_concentration_hhi,release_count,split,external_calibration,external_evaluation_eligible,workflow_adjusted_latency_log,latency_log_raw,latency_log
docker/cli,2025-09-01,487,484,87,0.1797520661157025,484,1.6583333333333332,4.278333333333333,0.03333333333333333,1.6333333333333333,469,18,0.03837953091684435,18,18,1.0,34,2.1930555555555555,1.9958333333333336,34,20.5,3.0,1.0,27,6.0,0.22267244032736155,,train,False,False,-0.005387083024763999,0.9776993600027986,-0.005387083024763999
docker/cli,2025-09-08,288,285,45,0.15789473684210525,285,1.7333333333333334,4.376666666666667,0.05,1.7,276,11,0.03985507246376811,12,9,0.8181818181818182,13,4.406944444444444,3.020277777777778,13,73.0,6.0,2.0,16,6.0,0.2007378472222222,,train,False,False,0.0010399288009101115,1.0055218656020977,0.0010399288009101115
docker/cli,2025-09-15,33,33,10,0.30303030303030304,33,1.7,4.26,0.05,1.65,32,1,0.03125,1,1,1.0,2,95.86083333333333,12.605833333333333,2,47.5,8.0,1.5,2,6.0,0.21395775941230488,,train,False,False,-0.007208467119513308,0.9932517730102833,-0.007208467119513308
docker/cli,2025-09-22,879,855,138,0.16140350877192983,855,1.6666666666666667,4.233333333333333,0.05,1.6333333333333333,821,53,0.06455542021924482,58,32,0.6037735849056604,50,2.459027777777778,2.047083333333333,50,19.0,2.0,1.0,53,6.0,0.24548140727711834,,train,False,False,-0.006429319594459101,0.9808292530117262,-0.006429319594459101
docker/cli,2025-09-29,313,307,61,0.1986970684039088,307,1.65,4.3,0.03333333333333333,1.6166666666666667,284,18,0.06338028169014084,29,18,1.0,21,17.554166666666667,17.5525,21,14.0,3.0,1.0,19,6.0,0.23955536955567577,,train,False,False,-0.005735778172599372,0.9745596399981308,-0.005735778172599372
docker/cli,2025-10-06,578,535,136,0.2542056074766355,535,1.7666666666666666,4.3,0.05,1.7333333333333334,563,14,0.02486678507992895,15,13,0.9285714285714286,13,5.3197222222222225,4.62,13,31.0,4.0,1.0,20,6.0,0.1897307264041379,,train,False,False,0.02535662856829053,1.0176432261344426,0.02535662856829053
docker/cli,2025-10-13,241,234,41,0.1752136752136752,234,1.6666666666666667,4.25,0.05,1.65,232,9,0.03879310344827586,9,7,0.7777777777777778,12,2.4169444444444443,2.115277777777778,12,14.5,2.0,1.0,12,6.0,0.22504777810299414,,train,False,False,0.027472521132425945,0.9808292530117262,0.027472521132425945
docker/cli,2025-10-20,222,203,53,0.26108374384236455,203,1.9333333333333333,4.376666666666667,0.13333333333333333,1.8333333333333333,215,7,0.03255813953488372,7,5,0.7142857142857143,3,46.334722222222226,43.63444444444445,3,1260.0,97.0,2.0,7,6.0,0.17096826556286016,,train,False,False,0.043142121093895446,1.0761394328160512,0.043142121093895446
docker/cli,2025-10-27,502,483,86,0.17805383022774326,483,1.8666666666666667,4.383333333333334,0.05,1.8333333333333333,483,19,0.039337474120082816,19,18,0.9473684210526315,22,5.588611111111112,1.5697222222222222,22,56.5,2.5,1.0,25,6.0,0.17452103934858176,,train,False,False,0.04239591194375334,1.0531499145913523,0.04239591194375334
docker/cli,2025-11-03,738,718,107,0.149025069637883,718,1.7333333333333334,4.166666666666667,0.05,1.7166666666666666,694,43,0.06195965417867435,44,32,0.7441860465116279,34,4.102777777777778,3.5979166666666664,34,33.5,3.5,1.0,32,6.0,0.19075212432341127,,train,False,False,0.03208157376872756,1.0055218656020977,0.03208157376872756
docker/cli,2025-11-10,188,171,15,0.08771929824561403,171,1.6833333333333333,4.133333333333334,0.05,1.65,180,7,0.03888888888888889,8,7,1.0,11,1.0880555555555556,0.5911111111111111,11,49.0,4.0,1.0,11,6.0,0.19562019013128112,,train,False,False,0.03757721152625586,0.9870598027623623,0.03757721152625586
docker/cli,2025-11-17,71,71,8,0.11267605633802817,71,1.6833333333333333,4.15,0.05,1.6666666666666667,66,5,0.07575757575757576,5,5,1.0,3,0.32222222222222224,0.30944444444444447,3,8.0,2.0,1.0,5,6.0,0.2564967268399127,,train,False,False,0.030234062066632574,0.9870598027623623,0.030234062066632574
docker/cli,2025-11-24,115,111,9,0.08108108108108109,111,1.7,4.116666666666666,0.05,1.6833333333333333,111,4,0.036036036036036036,4,4,1.0,7,6.287222222222222,5.905833333333334,7,73.0,2.0,1.0,6,6.0,0.1933459357277883,,train,False,False,0.023777524477614158,0.9932517730102833,0.023777524477614158
docker/cli,2025-12-01,69,69,13,0.18840579710144928,69,1.65,4.203333333333334,0.05,1.6166666666666667,66,3,0.045454545454545456,3,3,1.0,5,1.9125,1.0911111111111111,5,20.0,1.0,1.0,5,6.0,0.22117202268431002,,train,False,False,0.03925793773894303,0.9745596399981308,0.03925793773894303
docker/cli,2025-12-08,135,131,15,0.11450381679389313,131,1.8,4.116666666666666,0.05,1.7666666666666666,128,6,0.046875,7,4,0.6666666666666666,6,1.2838888888888889,0.9241666666666667,6,167.0,7.0,1.0,8,6.0,0.18397805212620028,,train,False,False,0.031560728113620894,1.0296194171811581,0.031560728113620894
docker/cli,2025-12-15,110,110,16,0.14545454545454545,110,1.625,4.130000000000001,0.03333333333333333,1.6166666666666667,103,7,0.06796116504854369,7,7,1.0,11,1.505,0.6786111111111112,11,4.0,1.0,1.0,11,6.0,0.22776859504132232,,train,False,False,0.014459689692728808,0.965080896043587,0.014459689692728808
docker/cli,2025-12-22,77,77,9,0.11688311688311688,77,1.75,4.083333333333333,0.05,1.7333333333333334,74,3,0.04054054054054054,3,3,1.0,2,1.6154166666666667,1.2336111111111112,2,55.0,4.0,4.0,7,6.0,0.19311856974194636,,train,False,False,-0.002084382967730151,1.0116009116784799,-0.002084382967730151
docker/cli,2025-12-29,12,6,1,0.16666666666666666,6,1.9583333333333333,3.525,0.03333333333333333,1.9333333333333333,6,6,1.0,6,0,0.0,0,,,0,,,,1,6.0,0.16666666666666669,,train,False,False,0.06018675244510838,1.0846260466933697,0.06018675244510838
docker/cli,2026-01-05,31,24,1,0.041666666666666664,24,1.7833333333333332,4.111666666666666,0.05,1.775,23,8,0.34782608695652173,8,1,0.125,4,350.5780555555556,349.89986111111114,4,55.0,3.5,1.0,3,6.0,0.1966701352757544,,train,False,False,0.03549820922849708,1.0236492501946544,0.03549820922849708
docker/cli,2026-01-12,221,209,35,0.1674641148325359,209,1.6833333333333333,4.033333333333333,0.03333333333333333,1.65,200,20,0.1,21,13,0.65,14,14.363055555555555,1.4305555555555556,14,15.0,1.5,1.0,11,6.0,0.2006715669212342,,train,False,False,-0.007292989635598965,0.9870598027623623,-0.007292989635598965
docker/cli,2026-01-19,47,41,4,0.0975609756097561,41,1.7166666666666666,4.033333333333333,0.05,1.7,40,7,0.175,7,1,0.14285714285714285,1,258.4169444444444,258.3625,1,227.0,19.0,1.0,5,6.0,0.17247623358985967,,train,False,False,-0.008775245961819188,0.9994056385846616,-0.008775245961819188
docker/cli,2026-01-26,115,114,12,0.10526315789473684,114,1.6583333333333332,4.045,0.03333333333333333,1.625,109,6,0.05504587155963303,6,6,1.0,9,2.362222222222222,0.1275,9,52.0,2.0,1.0,8,6.0,0.18805293005671078,,train,False,False,-0.011839000639643122,0.9776993600027986,-0.011839000639643122
docker/cli,2026-02-02,164,143,11,0.07692307692307693,143,1.6833333333333333,4.05,0.05,1.65,144,19,0.13194444444444445,20,6,0.3157894736842105,9,1.3463888888888889,0.5152777777777777,9,9.0,1.0,1.0,12,6.0,0.221743010113028,,train,False,False,0.007076518245622045,0.9870598027623623,0.007076518245622045
docker/cli,2026-02-09,414,354,50,0.14124293785310735,354,1.7333333333333334,4.1,0.05,1.6833333333333333,377,34,0.09018567639257294,37,12,0.35294117647058826,10,19.79083333333333,18.74486111111111,10,38.0,2.0,1.5,16,6.0,0.18224462647903103,,train,False,False,0.018239288023651847,1.0055218656020977,0.018239288023651847
docker/cli,2026-02-16,55,55,7,0.12727272727272726,55,1.6333333333333333,4.03,0.05,1.6166666666666667,50,4,0.08,5,3,0.75,3,54.26361111111111,23.855,3,35.0,2.0,2.0,6,6.0,0.21719008264462808,,train,False,False,-0.005714416170129857,0.9682504708048661,-0.005714416170129857
docker/cli,2026-02-23,136,126,13,0.10317460317460317,126,1.7166666666666666,4.041666666666666,0.03333333333333333,1.675,119,17,0.14285714285714285,17,7,0.4117647058823529,9,1.1966666666666668,0.6158333333333333,9,34.0,7.0,1.0,14,6.0,0.21312716262975778,,train,False,False,0.005614372561097636,0.9994056385846616,0.005614372561097636
docker/cli,2026-03-02,189,154,19,0.12337662337662338,154,1.6833333333333333,4.05,0.05,1.65,149,40,0.2684563758389262,40,5,0.125,11,6.787222222222222,3.216666666666667,11,21.0,2.0,1.0,14,6.0,0.23983091178858373,,purge,False,False,-0.0012645464552119177,0.9870598027623623,-0.0012645464552119177
docker/cli,2026-03-09,114,75,11,0.14666666666666667,75,1.6833333333333333,4.126666666666667,0.03333333333333333,1.65,73,39,0.5342465753424658,41,4,0.10256410256410256,6,109.04222222222222,60.41319444444444,6,12.5,1.5,1.0,3,6.0,0.20791012619267463,,purge,False,False,-0.0051052937946782576,0.9870598027623623,-0.0051052937946782576
docker/cli,2026-03-16,303,281,43,0.15302491103202848,281,1.7666666666666666,4.15,0.05,1.7166666666666666,280,22,0.07857142857142857,23,6,0.2727272727272727,7,45.60888888888889,1.7791666666666666,7,50.0,2.0,1.0,16,6.0,0.19415307867420406,,purge,False,False,0.017581826107604667,1.0176432261344426,0.017581826107604667
docker/cli,2026-03-23,149,131,19,0.1450381679389313,131,1.6333333333333333,4.133333333333334,0.05,1.6166666666666667,133,14,0.10526315789473684,16,7,0.5,6,0.5495833333333333,0.14263888888888887,6,13.0,4.5,1.0,8,6.0,0.2182334129093284,,purge,False,False,0.03908472233390586,0.9682504708048661,0.03908472233390586
docker/cli,2026-03-30,368,347,35,0.10086455331412104,347,1.7,4.133333333333334,0.05,1.6666666666666667,341,27,0.07917888563049853,27,9,0.3333333333333333,28,34.11888888888889,34.115,28,54.5,3.5,1.0,22,6.0,0.20070297731568998,,holdout,False,False,0.04554043815899358,0.9932517730102833,0.04554043815899358
docker/cli,2026-04-06,84,71,2,0.028169014084507043,71,1.6833333333333333,4.116666666666666,0.05,1.6833333333333333,70,14,0.2,14,1,0.07142857142857142,2,25.17652777777778,25.169583333333332,2,11.0,4.5,1.0,10,6.0,0.20011337868480725,,holdout,False,False,0.04314018625237434,0.9870598027623623,0.04314018625237434
docker/cli,2026-04-13,142,106,7,0.0660377358490566,106,1.7416666666666667,4.2,0.03333333333333333,1.7083333333333333,106,36,0.33962264150943394,36,2,0.05555555555555555,6,8.157222222222222,8.08875,6,17.5,1.5,1.0,12,6.0,0.1938107518349534,,holdout,False,False,0.04833095226209328,1.0085660079833259,0.04833095226209328
docker/cli,2026-04-20,350,304,47,0.15460526315789475,304,1.7166666666666666,4.195,0.05,1.6833333333333333,304,46,0.1513157894736842,46,8,0.17391304347826086,14,1.8219444444444444,0.9762500000000001,14,33.5,3.5,1.0,17,7.0,0.16189387755102042,,holdout,False,False,0.0668462370668329,0.9994056385846616,0.0668462370668329
docker/cli,2026-04-27,34,34,25,0.7352941176470589,34,0.14166666666666666,3.871666666666666,0.05,0.08333333333333333,34,0,0.0,0,0,,0,,,0,,,,3,7.0,0.40657439446366783,,holdout,False,False,0.15369501141064443,0.13248918304607893,0.15369501141064443
docker/cli,2026-05-04,269,230,55,0.2391304347826087,229,1.6833333333333333,4.32,0.05,1.6333333333333333,225,44,0.19555555555555557,44,6,0.13636363636363635,12,212.60958333333335,212.6052777777778,12,22.0,1.5,1.0,8,7.0,0.17375381766421139,,holdout,False,False,0.121937939685472,0.9870598027623623,0.121937939685472
docker/cli,2026-05-11,603,439,58,0.13211845102505695,439,1.7333333333333334,4.303333333333333,0.05,1.7,448,151,0.33705357142857145,155,7,0.046357615894039736,16,1.3366666666666667,1.3340277777777776,16,12.0,1.0,1.0,18,7.0,0.16472364545432044,,holdout,False,False,0.11145982395965523,1.0055218656020977,0.11145982395965523
docker/cli,2026-05-18,139,129,25,0.1937984496124031,129,0.16666666666666666,3.9100000000000006,0.05,0.1,133,6,0.045112781954887216,6,0,0.0,8,1.8319444444444444,1.2530555555555556,8,8.0,1.0,1.0,10,7.0,0.2045960354018943,,holdout,False,False,0.05037664174805296,0.15415067982725827,0.05037664174805296
docker/cli,2026-05-25,200,147,32,0.21768707482993196,147,1.7333333333333334,4.19,0.05,1.8166666666666667,138,61,0.4420289855072464,62,9,0.14754098360655737,5,3.9055555555555554,3.9027777777777777,5,6.0,1.0,1.0,14,8.0,0.15165,,holdout,False,False,0.06522398162783724,1.0055218656020977,0.06522398162783724
docker/cli,2026-06-01,334,260,50,0.19230769230769232,259,0.43333333333333335,4.15,0.05,0.36666666666666664,263,71,0.26996197718631176,71,6,0.08450704225352113,11,21.950555555555557,1.2422222222222221,11,18.0,2.0,1.0,12,9.0,0.1519954103768511,,holdout,False,False,0.08780314360237616,0.36000273403140703,0.08780314360237616
docker/cli,2026-06-08,504,428,69,0.16121495327102803,427,0.4166666666666667,4.266666666666667,0.05,0.36666666666666664,436,66,0.15137614678899083,68,14,0.21212121212121213,20,5.474444444444444,0.08402777777777778,20,30.0,4.0,1.0,19,9.0,0.12655108339632148,,holdout,False,False,0.09852434421071993,0.34830669426821576,0.09852434421071993
docker/cli,2026-06-15,83,66,15,0.22727272727272727,66,0.32499999999999996,4.075,0.05,0.29166666666666663,60,19,0.31666666666666665,23,2,0.10526315789473684,1,0.18583333333333332,0.055,1,16.0,3.0,2.0,12,9.0,0.12701408041805778,,holdout,False,False,0.056771538123508276,0.2814124594381855,0.056771538123508276
docker/cli,2026-06-22,164,149,21,0.14093959731543623,149,0.45,4.1,0.05,0.36666666666666664,142,19,0.13380281690140844,22,5,0.2631578947368421,7,0.7725,0.09555555555555556,7,2.0,1.0,1.0,8,9.0,0.125,,holdout,False,False,0.07566384750990275,0.37156355643248307,0.07566384750990275
docker/cli,2026-06-29,122,119,21,0.17647058823529413,118,0.4,4.1883333333333335,0.05,0.3333333333333333,120,2,0.016666666666666666,2,0,0.0,3,9.928055555555556,0.03833333333333333,3,6.0,1.0,1.0,3,9.0,0.14606288632088146,,holdout,False,False,0.0787508775360808,0.33647223662121295,0.0787508775360808
docker/cli,2026-07-06,435,372,31,0.08333333333333333,371,1.8333333333333333,4.3,0.05,1.1833333333333333,400,34,0.085,35,11,0.3235294117647059,15,12.262777777777778,0.07666666666666666,15,7.0,1.0,1.0,24,9.0,0.11781212841854935,,holdout,False,False,0.0818434682374748,1.041453874828161,0.0818434682374748
docker/cli,2026-07-13,137,102,6,0.058823529411764705,102,1.6833333333333333,4.233333333333333,0.05,1.6333333333333333,126,11,0.0873015873015873,11,0,0.0,4,10.274027777777778,7.664583333333334,4,6.5,1.0,1.0,7,9.0,0.11737439394746657,,holdout,False,False,0.08888780251827211,0.9870598027623623,0.08888780251827211
docker/cli,2026-07-20,301,201,31,0.15422885572139303,200,0.31666666666666665,4.171666666666667,0.05,0.2833333333333333,242,59,0.24380165289256198,59,3,0.05084745762711865,8,81.39541666666668,52.19513888888889,8,9.0,2.5,1.0,11,9.0,0.1490380900873059,,holdout,False,False,0.06351527453490077,0.2751032902449208,0.06351527453490077
docker/cli,2026-07-27,408,314,60,0.1910828025477707,313,0.3333333333333333,4.366666666666666,0.05,0.26666666666666666,375,32,0.08533333333333333,33,3,0.09375,19,32.096944444444446,0.06305555555555556,19,79.0,4.0,1.0,19,10.0,0.13153594771241828,,holdout,False,False,0.13864417939195678,0.2876820724517809,0.13864417939195678
docker/cli,2026-08-03,279,134,28,0.208955223880597,134,0.55,9.448333333333338,0.05,0.375,248,31,0.125,31,1,0.03225806451612903,6,13.399583333333332,13.301666666666668,6,11.0,1.5,1.0,16,9.0,0.12714379311673796,,holdout,False,False,0.27013840519323007,0.4382549309311553,0.27013840519323007
prometheus/prometheus,2025-06-23,383,264,61,0.23106060606060605,264,6.275,17.186666666666667,0.03333333333333333,1.0833333333333333,380,3,0.007894736842105263,3,2,0.6666666666666666,12,92.18569444444445,13.379305555555554,12,75.5,2.0,2.0,27,3.0,0.3336923695709971,,train,False,False,0.08350417409637671,1.9844438130575563,0.08350417409637671
prometheus/prometheus,2025-06-30,365,256,44,0.171875,256,5.716666666666667,16.983333333333334,0.03333333333333333,0.9666666666666667,363,2,0.005509641873278237,2,2,1.0,17,52.49944444444444,22.2075,17,72.0,3.0,3.0,32,3.0,0.3333533495965472,,train,False,False,0.10360896764934166,1.9045919997245824,0.10360896764934166
prometheus/prometheus,2025-07-07,374,256,55,0.21484375,256,6.074999999999999,19.65,0.03333333333333333,1.1166666666666667,369,5,0.013550135501355014,5,4,0.8,40,226.25944444444445,207.26444444444445,40,13.5,2.0,1.0,25,3.0,0.3334524864880322,,train,False,False,0.09455479445100302,1.9565674435293012,0.09455479445100302
prometheus/prometheus,2025-07-14,172,114,29,0.2543859649122807,114,4.266666666666667,19.810000000000006,0.03333333333333333,1.1666666666666667,171,1,0.005847953216374269,1,0,0.0,9,81.50416666666666,79.52888888888889,9,43.0,2.0,2.0,17,3.0,0.33335586803677664,,train,False,False,0.09221482220597871,1.6613976513648114,0.09221482220597871
prometheus/prometheus,2025-07-21,342,233,59,0.2532188841201717,232,1.0166666666666666,18.68,0.03333333333333333,0.95,338,3,0.008875739644970414,4,3,1.0,10,134.66055555555556,51.31277777777778,10,71.5,2.5,1.0,19,4.0,0.3133613761499265,,train,False,False,0.13081144711745563,0.7014459833746404,0.13081144711745563
prometheus/prometheus,2025-07-28,401,289,67,0.23183391003460208,289,14.316666666666666,31.679999999999986,0.03333333333333333,0.95,401,0,0.0,0,0,,11,96.74027777777778,24.96361111111111,11,4.0,1.0,1.0,37,4.0,0.33004147984154325,,train,False,False,0.2639706786146252,2.7289415601335865,0.2639706786146252
prometheus/prometheus,2025-08-04,387,260,68,0.26153846153846155,260,1.9666666666666666,19.441666666666666,0.03333333333333333,1.3083333333333333,387,0,0.0,0,0,,17,41.57138888888889,16.45722222222222,17,35.0,2.0,1.0,30,3.0,0.3333333333333333,,train,False,False,0.10199275308232607,1.0874389880699844,0.10199275308232607
prometheus/prometheus,2025-08-11,395,295,122,0.4135593220338983,294,0.95,17.766666666666666,0.03333333333333333,0.8833333333333333,386,9,0.023316062176165803,9,3,0.3333333333333333,17,138.50805555555556,38.40027777777778,17,67.0,2.0,1.0,17,6.0,0.23654542541259413,,train,False,False,0.07458158073300136,0.6678293725756554,0.07458158073300136
prometheus/prometheus,2025-08-18,435,346,122,0.35260115606936415,346,0.85,15.091666666666667,0.03333333333333333,0.8,424,8,0.018867924528301886,11,5,0.625,12,326.2468055555555,186.7826388888889,12,128.5,4.0,3.5,15,4.0,0.26447351037125116,,train,False,False,0.012140074611491398,0.6151856390902334,0.012140074611491398
prometheus/prometheus,2025-08-25,393,303,93,0.3069306930693069,302,0.8666666666666667,17.483333333333334,0.03333333333333333,0.8166666666666667,376,15,0.0398936170212766,17,10,0.6666666666666666,9,167.2888888888889,26.979444444444443,9,70.0,2.0,2.0,20,4.0,0.2538248871795868,,train,False,False,0.06055955008677612,0.6241543090729939,0.06055955008677612
prometheus/prometheus,2025-09-01,613,507,154,0.3037475345167653,507,0.8166666666666667,17.6,0.03333333333333333,0.7333333333333333,609,4,0.006568144499178982,4,3,0.75,16,164.58819444444447,45.974444444444444,16,101.5,3.0,2.0,39,6.0,0.2628769270482664,,train,False,False,0.03452055090799676,0.597003320007043,0.03452055090799676
prometheus/prometheus,2025-09-08,331,266,79,0.29699248120300753,266,0.9,15.3,0.03333333333333333,0.7833333333333333,328,2,0.006097560975609756,3,1,0.5,9,141.27527777777777,10.177222222222222,9,96.0,7.0,6.0,18,5.0,0.26304068053413165,,train,False,False,0.04055451738543119,0.6418538861723948,0.04055451738543119
prometheus/prometheus,2025-09-15,363,283,60,0.21201413427561838,283,0.8833333333333333,17.193333333333335,0.03333333333333333,0.8166666666666667,359,3,0.008356545961002786,4,2,0.6666666666666666,8,329.3120833333333,8.403472222222222,8,29.0,2.5,1.0,18,4.0,0.25653226479672764,,train,False,False,0.02906426187758119,0.6330432564902398,0.02906426187758119
prometheus/prometheus,2025-09-22,240,191,59,0.3089005235602094,191,0.9,15.35,0.03333333333333333,0.8166666666666667,235,5,0.02127659574468085,5,4,0.8,10,143.58097222222221,4.9063888888888885,10,196.5,6.0,2.5,10,4.0,0.2594444444444445,,train,False,False,0.03225949822697948,0.6418538861723948,0.03225949822697948
prometheus/prometheus,2025-09-29,490,379,119,0.31398416886543534,379,0.7333333333333333,16.186666666666667,0.03333333333333333,0.6,485,4,0.008247422680412371,5,3,0.75,17,22.976944444444445,24.24597222222222,16,31.0,2.0,1.0,39,5.0,0.25338608912952937,,train,False,False,0.021135499214391062,0.5500463369192718,0.021135499214391062
prometheus/prometheus,2025-10-06,684,519,96,0.18497109826589594,519,0.55,15.683333333333334,0.03333333333333333,0.5,681,3,0.004405286343612335,3,3,1.0,18,9.31486111111111,2.292777777777778,18,24.0,2.0,1.0,38,4.0,0.25209038678567763,,train,False,False,-0.028375921032254982,0.4382549309311553,-0.028375921032254982
prometheus/prometheus,2025-10-13,560,433,81,0.18706697459584296,433,0.5333333333333333,15.610000000000001,0.03333333333333333,0.48333333333333334,554,5,0.009025270758122744,6,4,0.8,20,48.51486111111111,2.7731944444444445,20,46.5,3.0,2.0,29,5.0,0.24934948979591837,,train,False,False,-0.026133729985047233,0.4274440148269396,-0.026133729985047233
prometheus/prometheus,2025-10-20,445,319,59,0.18495297805642633,319,0.5833333333333334,15.66,0.11666666666666667,0.45,439,5,0.011389521640091117,6,4,0.8,34,272.85513888888886,81.06083333333333,32,28.0,2.0,1.0,23,5.0,0.24985229137735135,,train,False,False,-0.011989370826381142,0.4595323293784402,-0.011989370826381142
prometheus/prometheus,2025-10-27,678,520,150,0.28846153846153844,520,0.5333333333333333,26.023333333333333,0.05,0.4166666666666667,665,8,0.012030075187969926,13,4,0.5,23,27.0175,2.9633333333333334,23,57.0,3.0,2.0,55,5.0,0.24753961416973402,,train,False,False,0.10206563037275547,0.4274440148269396,0.10206563037275547
prometheus/prometheus,2025-11-03,612,430,120,0.27906976744186046,430,0.5333333333333333,24.413333333333348,0.03333333333333333,0.3916666666666667,603,6,0.009950248756218905,9,4,0.6666666666666666,31,108.6288888888889,107.24555555555555,31,43.0,2.0,1.0,36,5.0,0.27109765474817377,,train,False,False,0.08860267795068656,0.4274440148269396,0.08860267795068656
prometheus/prometheus,2025-11-10,640,503,149,0.2962226640159046,503,0.4666666666666667,16.98,0.03333333333333333,0.4166666666666667,605,16,0.026446280991735537,35,9,0.5625,24,158.18694444444444,22.953194444444446,24,32.0,2.0,2.0,26,5.0,0.254814453125,,train,False,False,-0.03856494366814306,0.38299225225610584,-0.03856494366814306
prometheus/prometheus,2025-11-17,656,509,117,0.22986247544204322,509,0.4666666666666667,19.116666666666667,0.03333333333333333,0.38333333333333336,649,6,0.009244992295839754,7,5,0.8333333333333334,22,4.526666666666666,2.2461111111111114,22,20.0,1.5,1.0,53,5.0,0.25415954045211187,,train,False,False,0.1042953807181496,0.38299225225610584,0.1042953807181496
prometheus/prometheus,2025-11-24,398,306,57,0.18627450980392157,306,0.45,17.55,0.03333333333333333,0.38333333333333336,396,2,0.005050505050505051,2,2,1.0,11,73.56111111111112,9.381388888888889,11,16.0,2.0,1.0,18,4.0,0.2535542031766874,,train,False,False,-0.044310246613894745,0.37156355643248307,-0.044310246613894745
