repo_full,workflow_key,week,attempts_total,outcome_n,failure_count,failure_rate,latency_n,feedback_latency_median_min,feedback_latency_p90_min,queue_latency_median_min,execution_span_median_min,logical_run_n,rerun_count,rerun_rate,additional_attempt_count,failed_then_passed_count,failed_then_passed_rate_among_reruns,split,external_calibration,external_evaluation_eligible,latency_log_raw,workflow_training_latency_log_median,workflow_latency_residual
containerd/containerd,1294966,2025-06-23,56,56,0,0.0,56,3.933333333333333,4.3,0.058333333333333334,3.8666666666666667,56,0,0.0,0,0,,external,True,False,1.5960148921019597,1.66455721165518,-0.06854231955322021
containerd/containerd,1294966,2025-06-30,82,82,6,0.07317073170731707,82,4.0,4.215,0.05,3.95,82,0,0.0,0,0,,external,True,False,1.6094379124341003,1.66455721165518,-0.05511929922107961
containerd/containerd,1294966,2025-07-07,100,100,2,0.02,100,4.016666666666667,4.306666666666667,0.05,3.966666666666667,100,0,0.0,0,0,,external,True,False,1.612765702526775,1.66455721165518,-0.05179150912840491
containerd/containerd,1294966,2025-07-14,76,76,3,0.039473684210526314,76,4.058333333333334,4.324999999999999,0.05,4.008333333333333,76,0,0.0,0,0,,external,True,False,1.6210370482774523,1.66455721165518,-0.04352016337772757
containerd/containerd,1294966,2025-07-21,41,41,3,0.07317073170731707,41,4.05,4.3,0.05,3.9833333333333334,41,0,0.0,0,0,,external,True,False,1.6193882432872684,1.66455721165518,-0.04516896836791151
containerd/containerd,1294966,2025-07-28,100,100,2,0.02,100,4.116666666666666,4.501666666666667,0.05,4.041666666666666,100,0,0.0,0,0,,external,True,False,1.6325031853650964,1.66455721165518,-0.03205402629008347
containerd/containerd,1294966,2025-08-04,51,51,1,0.0196078431372549,51,4.333333333333333,4.483333333333333,0.05,4.266666666666667,51,0,0.0,0,0,,external,True,False,1.6739764335716716,1.66455721165518,0.009419221916491693
containerd/containerd,1294966,2025-08-11,48,48,1,0.020833333333333332,48,4.283333333333333,4.5,0.05,4.233333333333333,48,0,0.0,0,0,,external,True,False,1.66455721165518,1.66455721165518,0.0
containerd/containerd,1294966,2025-08-18,90,90,19,0.2111111111111111,90,4.475,6.098333333333349,0.05,4.3,90,0,0.0,0,0,,external,True,False,1.7001922757025645,1.66455721165518,0.03563506404738459
containerd/containerd,1294966,2025-08-25,230,230,9,0.0391304347826087,230,4.666666666666667,4.968333333333334,0.05,4.616666666666666,230,0,0.0,0,0,,external,True,False,1.7346010553881064,1.66455721165518,0.07004384373292649
containerd/containerd,1294966,2025-09-01,138,138,9,0.06521739130434782,138,4.658333333333333,5.121666666666666,0.05,4.6083333333333325,138,0,0.0,0,0,,external,True,False,1.73312938477665,1.66455721165518,0.06857217312147013
containerd/containerd,1294966,2025-09-08,75,75,2,0.02666666666666667,75,4.7,5.1433333333333335,0.05,4.616666666666666,75,0,0.0,0,0,,external,True,False,1.7404661748405046,1.66455721165518,0.0759089631853247
containerd/containerd,1294966,2025-09-15,62,62,2,0.03225806451612903,62,4.725,4.948333333333333,0.05,4.666666666666667,62,0,0.0,0,0,,external,True,False,1.7448425494403033,1.66455721165518,0.08028533778512337
containerd/containerd,1294966,2025-09-22,67,67,0,0.0,67,4.65,4.866666666666666,0.05,4.583333333333333,67,0,0.0,0,0,,external,False,True,1.7316555451583497,1.66455721165518,0.06709833350316985
containerd/containerd,1294966,2025-09-29,35,35,0,0.0,35,4.6,4.87,0.05,4.55,35,0,0.0,0,0,,external,False,True,1.7227665977411035,1.66455721165518,0.05820938608592363
containerd/containerd,1294966,2025-10-06,58,58,1,0.017241379310344827,58,4.658333333333333,5.23,0.05,4.591666666666667,58,0,0.0,0,0,,external,False,True,1.73312938477665,1.66455721165518,0.06857217312147013
containerd/containerd,1294966,2025-10-13,61,61,0,0.0,61,4.6,4.95,0.05,4.55,61,0,0.0,0,0,,external,False,True,1.7227665977411035,1.66455721165518,0.05820938608592363
containerd/containerd,1294966,2025-10-20,85,85,7,0.08235294117647059,85,4.666666666666667,4.859999999999999,0.13333333333333333,4.516666666666667,85,0,0.0,0,0,,external,False,True,1.7346010553881064,1.66455721165518,0.07004384373292649
containerd/containerd,1294966,2025-10-27,84,84,1,0.011904761904761904,84,4.583333333333333,5.086666666666667,0.05,4.525,84,0,0.0,0,0,,external,False,True,1.7197859696029656,1.66455721165518,0.0552287579477857
containerd/containerd,1294966,2025-11-03,103,103,4,0.038834951456310676,103,4.683333333333334,4.983333333333333,0.05,4.633333333333334,103,0,0.0,0,0,,external,False,True,1.737537915061416,1.66455721165518,0.07298070340623619
