repo_full,detector_family,detector_variant,metric,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""rerun_rate"": 0.2}",2,observed,none,100,1.0,49,0.245,100,0.0,100,0.49,100,1.0,49,0.245,100,0.49,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""rerun_rate"": 0.2}",4,observed,none,100,1.0,56,0.225,100,0.0,100,0.56,100,1.5357142857142858,56,0.225,100,0.9,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""rerun_rate"": 0.2}",8,observed,none,100,1.0,43,0.09125,100,0.0,100,0.43,100,1.9534883720930232,43,0.09125,100,0.73,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""rerun_rate"": 0.05}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""rerun_rate"": 0.05}",2,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""rerun_rate"": 0.05}",4,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""rerun_rate"": 0.05}",8,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",1,low_volume,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",1,observed,controlled,100,,0,0.0,39,0.0,100,0.0,100,,0,0.0,39,0.0,100,0.4730555555555553,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",2,low_volume,none,100,1.0,5,0.025,100,0.0,100,0.05,100,1.0,5,0.025,100,0.05,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",2,observed,controlled,100,,0,0.0,75,0.0,100,0.0,100,,0,0.0,75,0.0,100,0.4686111111111107,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",2,observed,none,100,1.0,1,0.005,100,0.0,100,0.01,100,1.0,1,0.005,100,0.01,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",4,low_volume,none,100,1.0,16,0.0475,100,0.0,100,0.16,100,1.6875,16,0.0475,100,0.19,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",4,observed,controlled,100,,0,0.0,68,0.0,100,0.0,100,,0,0.0,68,0.0,100,0.5341666666666666,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",4,observed,none,100,1.0,3,0.0075,100,0.0,100,0.03,100,1.6666666666666667,3,0.0075,100,0.03,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",8,low_volume,none,100,1.0,21,0.03125,100,0.0,100,0.21,100,2.6666666666666665,21,0.03125,100,0.25,100,0.3888888888888885,100
