repo_full,detector_family,detector_variant,affected_metrics,dimensionality,magnitude_level,scenario_detector_rows,strict_incremental_episode_detected_n,strict_incremental_episode_detected_proportion,strict_incremental_episode_detected_ci95_low,strict_incremental_episode_detected_ci95_high,total_operational_episode_detected_n,total_operational_episode_detected_proportion,total_operational_episode_detected_ci95_low,total_operational_episode_detected_ci95_high,incremental_detected_within_0w_post_n,incremental_detected_within_0w_post_proportion,incremental_detected_within_0w_post_ci95_low,incremental_detected_within_0w_post_ci95_high,incremental_detected_within_1w_post_n,incremental_detected_within_1w_post_proportion,incremental_detected_within_1w_post_ci95_low,incremental_detected_within_1w_post_ci95_high,incremental_detected_within_2w_post_n,incremental_detected_within_2w_post_proportion,incremental_detected_within_2w_post_ci95_low,incremental_detected_within_2w_post_ci95_high,incremental_detected_within_4w_post_n,incremental_detected_within_4w_post_proportion,incremental_detected_within_4w_post_ci95_low,incremental_detected_within_4w_post_ci95_high,strict_incremental_detection_delay_weeks_n,strict_incremental_detection_delay_weeks_mean,strict_incremental_detection_delay_weeks_sd,strict_incremental_detection_delay_weeks_ci95_low,strict_incremental_detection_delay_weeks_ci95_high,reference_alarm_burden_n,reference_alarm_burden_mean,reference_alarm_burden_sd,reference_alarm_burden_ci95_low,reference_alarm_burden_ci95_high,incremental_alarm_duration_weeks_n,incremental_alarm_duration_weeks_mean,incremental_alarm_duration_weeks_sd,incremental_alarm_duration_weeks_ci95_low,incremental_alarm_duration_weeks_ci95_high,incremental_spillover_weeks_n,incremental_spillover_weeks_mean,incremental_spillover_weeks_sd,incremental_spillover_weeks_ci95_low,incremental_spillover_weeks_ci95_high,reference_alarm_overlap_fraction_n,reference_alarm_overlap_fraction_mean,reference_alarm_overlap_fraction_sd,reference_alarm_overlap_fraction_ci95_low,reference_alarm_overlap_fraction_ci95_high,incremental_boundary_overlap_n,incremental_boundary_overlap_mean,incremental_boundary_overlap_sd,incremental_boundary_overlap_ci95_low,incremental_boundary_overlap_ci95_high,pair_unevaluable_fraction_n,pair_unevaluable_fraction_mean,pair_unevaluable_fraction_sd,pair_unevaluable_fraction_ci95_low,pair_unevaluable_fraction_ci95_high,injection_relative_precision_n,injection_relative_precision_mean,injection_relative_precision_sd,injection_relative_precision_ci95_low,injection_relative_precision_ci95_high,injection_relative_false_alarm_rate_n,injection_relative_false_alarm_rate_mean,injection_relative_false_alarm_rate_sd,injection_relative_false_alarm_rate_ci95_low,injection_relative_false_alarm_rate_ci95_high
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,high,400,400,0.595,0.5462106166004184,0.6419820474760654,400,0.61,0.5613714064462345,0.6565358888002202,400,0.595,0.5462106166004184,0.6419820474760654,400,0.6075,0.5588413833413011,0.6541134733768252,400,0.6075,0.5588413833413011,0.6541134733768252,400,0.6075,0.5588413833413011,0.6541134733768252,238,0.907563025210084,0.38955988665898733,0.858071157512011,0.957054892908157,400,0.022222222222222195,3.47379190913765e-18,0.022222222222222195,0.022222222222222195,400,1.44,1.5708497452989463,1.2860595537045074,1.5939404462954925,400,0.0325,0.1775459275539077,0.015100818819629165,0.04989918118037084,400,0.0290625,0.1093558656732361,0.018345822089112864,0.03977917791088714,397,0.33414297709008034,0.3141612852841389,0.303239631210521,0.3650463229696397,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,331,0.5313192346424975,0.35773930814943633,0.49278020665608196,0.569858262628913,400,0.017158868137944597,0.01194453104084226,0.01598832560533102,0.018329410670558176
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,low,400,400,0.19,0.15457385084236502,0.2313237716448988,400,0.2225,0.18448827447183322,0.2657910488837013,400,0.19,0.15457385084236502,0.2313237716448988,400,0.1975,0.1614426641926397,0.23931227387960974,400,0.1975,0.1614426641926397,0.23931227387960974,400,0.1975,0.1614426641926397,0.23931227387960974,76,1.25,1.132843031197762,0.9953105050100963,1.5046894949899037,400,0.022222222222222195,3.47379190913765e-18,0.022222222222222195,0.022222222222222195,400,0.3,0.6753816335059704,0.23381381612542337,0.3661861838745766,400,0.0175,0.13128915456069917,0.004633899275015854,0.03036610072498415,400,0.029375,0.10728295977762087,0.01886146313405019,0.03988853686594981,398,0.07401591289782244,0.19048317200464376,0.05530206180313811,0.09272976399250678,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,310,0.21236559139784944,0.3548469478260116,0.1728645706723227,0.2518666121233762,400,0.01677791090134357,0.011483550142313427,0.015652543666663864,0.017903278136023274
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,medium,400,400,0.3875,0.34104299567214824,0.43609727055306846,400,0.4,0.3531615288938136,0.4487409299730458,400,0.3875,0.34104299567214824,0.43609727055306846,400,0.405,0.3580179525239347,0.4537893833995817,400,0.405,0.3580179525239347,0.4537893833995817,400,0.405,0.3580179525239347,0.4537893833995817,155,1.1548387096774193,0.8538829224460912,1.0204135473027354,1.2892638720521032,400,0.022222222222222195,3.47379190913765e-18,0.022222222222222195,0.022222222222222195,400,0.7425,1.1177285191881416,0.6329646178948979,0.8520353821051022,400,0.04,0.19620458863518908,0.02077230363367663,0.05922769636632337,400,0.03,0.11521201987557342,0.01870942952288816,0.041290570477111835,398,0.16849126585307486,0.2572721640786216,0.14321578918652111,0.1937667425196286,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,320,0.35953124999999997,0.39160062681087404,0.31662540296204383,0.4024370970379561,400,0.016759561112006827,0.012276496372016997,0.015556486574732329,0.017962635649281324
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,high,400,400,0.615,0.5664353568701253,0.6613768154329864,400,0.6275,0.5791182279031106,0.6734561370416436,400,0.615,0.5664353568701253,0.6613768154329864,400,0.625,0.5765790058795889,0.671042920536837,400,0.625,0.5765790058795889,0.671042920536837,400,0.625,0.5765790058795889,0.671042920536837,246,0.8943089430894309,0.43916447813828274,0.8394297468108168,0.9491881393680449,400,0.022222222222222195,3.47379190913765e-18,0.022222222222222195,0.022222222222222195,400,1.4725,1.5685645465973357,1.318783499062141,1.6262165009378589,400,0.025,0.1563204728292616,0.00968087516041876,0.04031912483958124,400,0.0215625,0.1056623510282259,0.011207779873142424,0.031917220126857576,400,0.3373660714285714,0.31494183318139096,0.306502338915544,0.36822980394159877,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,336,0.5411210317460318,0.3567771250830798,0.5029727084984592,0.5792693549936043,400,0.01717627109238669,0.011842953210318129,0.01601568300424586,0.018336859180527517
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,low,400,400,0.2025,0.16603379503442495,0.24462602009448153,400,0.2225,0.18448827447183322,0.2657910488837013,400,0.2025,0.16603379503442495,0.24462602009448153,400,0.2125,0.17524350992363666,0.2552260593185839,400,0.2175,0.1798616207098898,0.2605128255889877,400,0.2225,0.18448827447183322,0.2657910488837013,81,1.3950617283950617,1.3292762348894887,1.1055802232963503,1.684543233493773,400,0.022222222222222195,3.47379190913765e-18,0.022222222222222195,0.022222222222222195,400,0.3375,0.710532117306678,0.26786913201099616,0.4071308679890039,400,0.0275,0.16373996745558456,0.011453778047864686,0.04354622195213531,400,0.0228125,0.11153644377275836,0.011882129362085842,0.03374287063791416,400,0.07875,0.19622454658300084,0.059520347790730815,0.09797965220926919,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,307,0.21959826275787184,0.366944465012968,0.17855146850384074,0.26064505701190294,400,0.016561894842375156,0.012334145332008046,0.015353170810834227,0.017770618873916087
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,medium,400,400,0.37,0.3241319808189903,0.4183412157079268,400,0.3825,0.33620468254006386,0.43103070662849585,400,0.37,0.3241319808189903,0.4183412157079268,400,0.38,0.3337874943779953,0.4284954562622359,400,0.38,0.3337874943779953,0.4284954562622359,400,0.38,0.3337874943779953,0.4284954562622359,148,1.0945945945945945,0.8109609470607433,0.9639422601338553,1.2252469290553336,400,0.022222222222222195,3.47379190913765e-18,0.022222222222222195,0.022222222222222195,400,0.675,1.02811358509634,0.5742467200597409,0.7757532799402592,400,0.0175,0.13128915456069917,0.004633899275015854,0.03036610072498415,400,0.02625,0.09861986206126258,0.016585431109980862,0.035914568890019136,400,0.15802083333333333,0.2488117254012752,0.13363773229744488,0.18240393436922178,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,315,0.3504232804232804,0.39018590850135293,0.3073344808591758,0.393512079987385,400,0.0163437702261328,0.011974307548980184,0.015170309649342437,0.017517230802923164
containerd/containerd,causal_rolling_mad,failure_rate,latency_log,1,high,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.065,0.04474048189620036,0.09353521417463759,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.022222222222222195,3.47379190913765e-18,0.022222222222222195,0.022222222222222195,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0159375,0.07148660314929338,0.008931941622513869,0.02294305837748613,400,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.065,0.24683459703967628,0.04081065398318887,0.08918934601681114,400,0.022688720146104357,0.006194769927819086,0.022081643848552497,0.023295796443656216
containerd/containerd,causal_rolling_mad,failure_rate,latency_log,1,low,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0975,0.07214511778538757,0.1305122791537211,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.022222222222222195,3.47379190913765e-18,0.022222222222222195,0.022222222222222195,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0303125,0.1241319325776557,0.01814779414082203,0.04247720585917797,400,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.0975,0.297008898375597,0.06839366280479564,0.12660633719520437,400,0.02188261246484741,0.007364731736413799,0.021160882016888902,0.022604342912805917
containerd/containerd,causal_rolling_mad,failure_rate,latency_log,1,medium,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.09,0.06571729376939447,0.12208278758472865,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.022222222222222195,3.47379190913765e-18,0.022222222222222195,0.022222222222222195,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0221875,0.08858694294251128,0.013506139116608657,0.03086886088339134,398,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.09,0.2865401597645516,0.06191958033685628,0.11808041966314371,400,0.022049940517605497,0.007115713441016117,0.021352613414170538,0.022747267621040457
containerd/containerd,causal_rolling_mad,failure_rate,latency_log+failure_rate,2,high,400,400,0.605,0.5563126557323714,0.6516897624574263,400,0.6125,0.5639027294469315,0.6589570043278518,400,0.605,0.5563126557323714,0.6516897624574263,400,0.6175,0.5689692933715043,0.6637953174599363,400,0.6175,0.5689692933715043,0.6637953174599363,400,0.6175,0.5689692933715043,0.6637953174599363,242,0.9008264462809917,0.4254352650813876,0.8472253225637632,0.9544275699982203,400,0.022222222222222195,3.47379190913765e-18,0.022222222222222195,0.022222222222222195,400,1.445,1.5774014988967788,1.290417493650141,1.5995825063498592,400,0.02,0.14017532881009245,0.006263070200557948,0.03373692979944205,400,0.020625,0.09178122825310807,0.011630604908352908,0.029619395091647092,396,0.3375871813371813,0.3130961770686043,0.30674974521154896,0.36842461746281363,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,327,0.5426605504587155,0.3557620295076034,0.5041008360505991,0.581220264866832,400,0.01669225407624366,0.011932106082580133,0.015522929167165241,0.01786157898532208
