detector_family,detector_variant,scenario_type,affected_metrics,dimensionality,magnitude_level,duration_weeks,volume_condition,missingness_condition,metric,repositories_observed,cross_repository_mean,cross_repository_minimum,cross_repository_maximum,cross_repository_range,cross_repository_sd,interpretation
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,1,observed,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,2,observed,none,strict_incremental_episode_detected_proportion,3,0.06666666666666667,0.0,0.16,0.16,0.08326663997864531,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,2,observed,none,strict_incremental_detection_delay_weeks_mean,2,0.5625,0.5,0.625,0.125,0.08838834764831845,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,2,observed,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,2,observed,none,incremental_spillover_weeks_mean,3,0.023333333333333334,0.0,0.04,0.04,0.020816659994661327,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,2,observed,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,4,observed,none,strict_incremental_episode_detected_proportion,3,0.1466666666666667,0.02,0.28,0.26,0.13012814197295425,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,4,observed,none,strict_incremental_detection_delay_weeks_mean,3,1.75,1.5357142857142858,2.0,0.4642857142857142,0.2341942330107857,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,4,observed,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,4,observed,none,incremental_spillover_weeks_mean,3,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
