repo_full,detector_family,detector_variant,dimensionality,magnitude_level,duration_weeks,scenario_detector_rows,strict_incremental_episode_detected_n,strict_incremental_episode_detected_proportion,strict_incremental_episode_detected_ci95_low,strict_incremental_episode_detected_ci95_high,total_operational_episode_detected_n,total_operational_episode_detected_proportion,total_operational_episode_detected_ci95_low,total_operational_episode_detected_ci95_high,incremental_detected_within_0w_post_n,incremental_detected_within_0w_post_proportion,incremental_detected_within_0w_post_ci95_low,incremental_detected_within_0w_post_ci95_high,incremental_detected_within_1w_post_n,incremental_detected_within_1w_post_proportion,incremental_detected_within_1w_post_ci95_low,incremental_detected_within_1w_post_ci95_high,incremental_detected_within_2w_post_n,incremental_detected_within_2w_post_proportion,incremental_detected_within_2w_post_ci95_low,incremental_detected_within_2w_post_ci95_high,incremental_detected_within_4w_post_n,incremental_detected_within_4w_post_proportion,incremental_detected_within_4w_post_ci95_low,incremental_detected_within_4w_post_ci95_high,strict_incremental_detection_delay_weeks_n,strict_incremental_detection_delay_weeks_mean,strict_incremental_detection_delay_weeks_sd,strict_incremental_detection_delay_weeks_ci95_low,strict_incremental_detection_delay_weeks_ci95_high,reference_alarm_burden_n,reference_alarm_burden_mean,reference_alarm_burden_sd,reference_alarm_burden_ci95_low,reference_alarm_burden_ci95_high,incremental_alarm_duration_weeks_n,incremental_alarm_duration_weeks_mean,incremental_alarm_duration_weeks_sd,incremental_alarm_duration_weeks_ci95_low,incremental_alarm_duration_weeks_ci95_high,incremental_spillover_weeks_n,incremental_spillover_weeks_mean,incremental_spillover_weeks_sd,incremental_spillover_weeks_ci95_low,incremental_spillover_weeks_ci95_high,reference_alarm_overlap_fraction_n,reference_alarm_overlap_fraction_mean,reference_alarm_overlap_fraction_sd,reference_alarm_overlap_fraction_ci95_low,reference_alarm_overlap_fraction_ci95_high,incremental_boundary_overlap_n,incremental_boundary_overlap_mean,incremental_boundary_overlap_sd,incremental_boundary_overlap_ci95_low,incremental_boundary_overlap_ci95_high,pair_unevaluable_fraction_n,pair_unevaluable_fraction_mean,pair_unevaluable_fraction_sd,pair_unevaluable_fraction_ci95_low,pair_unevaluable_fraction_ci95_high,injection_relative_precision_n,injection_relative_precision_mean,injection_relative_precision_sd,injection_relative_precision_ci95_low,injection_relative_precision_ci95_high,injection_relative_false_alarm_rate_n,injection_relative_false_alarm_rate_mean,injection_relative_false_alarm_rate_sd,injection_relative_false_alarm_rate_ci95_low,injection_relative_false_alarm_rate_ci95_high
containerd/containerd,causal_rolling_mad,failure_rate,1,high,1,300,300,0.03,0.01586185380943231,0.05602253914164096,300,0.04,0.023027321487942308,0.06860421203864003,300,0.03,0.01586185380943231,0.05602253914164096,300,0.04666666666666667,0.027998933682334012,0.07679736022792105,300,0.04666666666666667,0.027998933682334012,0.07679736022792105,300,0.04666666666666667,0.027998933682334012,0.07679736022792105,9,0.0,0.0,0.0,0.0,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.06,0.2886944433226091,0.02733174864290737,0.09266825135709263,300,0.03,0.17087224588772665,0.010664340420389273,0.049335659579610724,300,0.01,0.09966499068325334,-0.0012779481644004023,0.0212779481644004,293,0.023890784982935155,0.14133372176498904,0.007707746148658216,0.0400738238172121,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,289,0.02364475201845444,0.12545572443205613,0.009180710751324338,0.038108793285584544,300,0.022336700336700314,0.006291733384009255,0.02162473676270475,0.02304866391069588
containerd/containerd,causal_rolling_mad,failure_rate,1,high,2,300,300,0.24333333333333335,0.19822154125071836,0.2949351839778819,300,0.30333333333333334,0.2540711301237818,0.3575684385578729,300,0.24333333333333335,0.19822154125071836,0.2949351839778819,300,0.24333333333333335,0.19822154125071836,0.2949351839778819,300,0.24333333333333335,0.19822154125071836,0.2949351839778819,300,0.24333333333333335,0.19822154125071836,0.2949351839778819,73,0.9315068493150684,0.25433830943623054,0.8731625483008032,0.9898511503293337,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.27,0.5012692919080854,0.21327708203463466,0.3267229179653654,300,0.013333333333333334,0.11488931224930929,0.00033262265941922005,0.026334044007247447,300,0.03666666666666667,0.13055921229569797,0.021892772458063252,0.05144056087527008,300,0.1361111111111111,0.2562697032090536,0.10711199708838114,0.16511022513384105,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,283,0.20965842167255594,0.3294946836941155,0.17126973230962045,0.24804711103549143,300,0.01998238195912608,0.00807638440302719,0.019068469821787993,0.02089629409646417
containerd/containerd,causal_rolling_mad,failure_rate,1,high,4,300,300,0.26666666666666666,0.21980599244000376,0.31942739413145094,300,0.30333333333333334,0.2540711301237818,0.3575684385578729,300,0.26666666666666666,0.21980599244000376,0.31942739413145094,300,0.26666666666666666,0.21980599244000376,0.31942739413145094,300,0.26666666666666666,0.21980599244000376,0.31942739413145094,300,0.26666666666666666,0.21980599244000376,0.31942739413145094,80,0.925,0.4141485088006139,0.8342473742225208,1.0157526257774792,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.6566666666666666,1.1676186592091329,0.5245406049064464,0.7887927284268869,300,0.0,0.0,0.0,0.0,300,0.02,0.06793662204867575,0.012312388766839384,0.027687611233160617,300,0.16583333333333333,0.29429142269453235,0.132531735775122,0.19913493089154466,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,283,0.254416961130742,0.3809452849957228,0.21003387717315128,0.2988000450883328,300,0.020716221447928746,0.008717595607703832,0.01972975076541647,0.02170269213044102
containerd/containerd,causal_rolling_mad,failure_rate,1,high,8,300,300,0.25333333333333335,0.20744975020452644,0.30545411559958296,300,0.36666666666666664,0.3141415065082282,0.4225632858183173,300,0.25333333333333335,0.20744975020452644,0.30545411559958296,300,0.25333333333333335,0.20744975020452644,0.30545411559958296,300,0.25333333333333335,0.20744975020452644,0.30545411559958296,300,0.25333333333333335,0.20744975020452644,0.30545411559958296,76,0.9736842105263158,0.36418618720013035,0.8918066744989017,1.05556174655373,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.9333333333333333,1.7278620449494257,0.7378109292816882,1.1288557373849784,300,0.0,0.0,0.0,0.0,300,0.022083333333333333,0.04775294967746548,0.016679677671825606,0.02748698899484106,300,0.1169047619047619,0.21614978625494705,0.09244556044979071,0.14136396335973309,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,276,0.35398550724637684,0.44353062070883903,0.30165955286491547,0.4063114616278382,300,0.019625414888572765,0.012056945714966478,0.018261068111814074,0.020989761665331456
containerd/containerd,causal_rolling_mad,failure_rate,1,low,1,300,300,0.013333333333333334,0.005196961739358857,0.03377553025253262,300,0.03333333333333333,0.01820494733885481,0.06026182580405482,300,0.013333333333333334,0.005196961739358857,0.03377553025253262,300,0.023333333333333334,0.011347660299125234,0.04737197226827532,300,0.023333333333333334,0.011347660299125234,0.04737197226827532,300,0.023333333333333334,0.011347660299125234,0.04737197226827532,4,0.0,0.0,0.0,0.0,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.023333333333333334,0.15121212222763153,0.006222385300116314,0.04044428136655036,300,0.01,0.09966499068325335,-0.001277948164400404,0.021277948164400404,300,0.02,0.14023391829177734,0.004131329862742127,0.03586867013725788,295,0.013559322033898305,0.11584887399099301,0.00033939981308921466,0.026779244254707395,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,284,0.028169014084507043,0.15472131435008843,0.010174543778969158,0.04616348439004493,300,0.021279461279461256,0.006410080669858747,0.020554105695432298,0.022004816863490213
containerd/containerd,causal_rolling_mad,failure_rate,1,low,2,300,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,16,0.625,0.5,0.38000450193249324,0.8699954980675068,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.08333333333333333,0.3699257209480737,0.04147306648406503,0.12519360018260162,300,0.013333333333333334,0.11488931224930929,0.00033262265941922005,0.026334044007247447,300,0.02666666666666667,0.11253638083865634,0.013932210354508014,0.03940112297882532,300,0.032777777777777774,0.15160379657477266,0.015622508434197904,0.04993304712135764,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,282,0.07624113475177305,0.23944490672238442,0.04829452436147187,0.10418774514207423,300,0.020916138125440385,0.006984214507009054,0.020125814375454455,0.021706461875426315
containerd/containerd,causal_rolling_mad,failure_rate,1,low,4,300,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,300,0.19,0.14963485033440665,0.23820379182481183,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,28,1.5357142857142858,1.0708993401928106,1.1390549078907033,1.9323736635378683,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.12333333333333334,0.42668774334787246,0.0750499570055726,0.17161670966109407,300,0.0,0.0,0.0,0.0,300,0.029166666666666667,0.08038976262771287,0.0200698758111377,0.038263457522195635,300,0.030833333333333334,0.10667193583696812,0.01876248925139315,0.04290417741527352,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,276,0.17391304347826086,0.35604140334505435,0.1319087142178132,0.21591737273870854,300,0.019419279907084766,0.009827407303247658,0.01830722451635366,0.02053133529781587
containerd/containerd,causal_rolling_mad,failure_rate,1,low,8,300,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,300,0.25,0.20436988915825566,0.3019515964540173,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,28,1.5,1.2909944487358056,1.021817751127716,1.978182248872284,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.17,0.579268365669042,0.1044508181207293,0.2355491818792707,300,0.0,0.0,0.0,0.0,300,0.029166666666666667,0.05295740910852022,0.023174081800582967,0.03515925153275037,300,0.02125,0.07240854570863026,0.013056352265091163,0.02944364773490884,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,268,0.2587064676616916,0.4239707687157062,0.2079470526224265,0.30946588270095665,300,0.01872214319582739,0.012472652338355551,0.017310755650609896,0.020133530741044882
containerd/containerd,causal_rolling_mad,failure_rate,1,medium,1,300,300,0.016666666666666666,0.00713947735063333,0.0384153948330945,300,0.04666666666666667,0.027998933682334012,0.07679736022792105,300,0.016666666666666666,0.00713947735063333,0.0384153948330945,300,0.04,0.023027321487942308,0.06860421203864003,300,0.04,0.023027321487942308,0.06860421203864003,300,0.04,0.023027321487942308,0.06860421203864003,5,0.0,0.0,0.0,0.0,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.05333333333333334,0.2782329974892657,0.021848884262522905,0.08481778240414377,300,0.03666666666666667,0.18825609351281192,0.0153638756894659,0.057969457643867434,300,0.03,0.17087224588772665,0.010664340420389273,0.049335659579610724,293,0.010238907849829351,0.08212259621907984,0.0008356801757228478,0.019642135523935855,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,285,0.038011695906432746,0.1807910149842376,0.01702217605324409,0.0590012157596214,300,0.021730639730639708,0.007711849616943132,0.020857977829652343,0.022603301631627073
containerd/containerd,causal_rolling_mad,failure_rate,1,medium,2,300,300,0.13666666666666666,0.10236514609208625,0.1801554129977505,300,0.16666666666666666,0.1287653312036807,0.21299664961268325,300,0.13666666666666666,0.10236514609208625,0.1801554129977505,300,0.13666666666666666,0.10236514609208625,0.1801554129977505,300,0.13666666666666666,0.10236514609208625,0.1801554129977505,300,0.13666666666666666,0.10236514609208625,0.1801554129977505,41,0.8780487804878049,0.33129457822453967,0.7766411835841699,0.9794563773914399,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.17,0.4565758846692831,0.11833452423850319,0.22166547576149684,300,0.016666666666666666,0.12823299585640946,0.0021560037917704895,0.031177329541562843,300,0.023333333333333334,0.10563815735734447,0.011379470149366858,0.03528719651729981,300,0.07388888888888888,0.19754077674971368,0.05153545640205869,0.09624232137571906,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,279,0.1117084826762246,0.25241896912662415,0.08208964728359044,0.14132731806885876,300,0.02092494714587731,0.006986834854567427,0.020134326881099843,0.021715567410654776
