Repository,Median CI Duration (min),Median Failure Rate,Median PR Cycle (h)
docker/cli,1.933333333333333,0.1492537313432835,7.827222222222222
prometheus/prometheus,0.9416666666666667,0.17394556559778795,82.03125
tektoncd/pipeline,0.5541666666666667,0.0737879180710396,61.19625
